colour	x	xend	y	yend	tooltip	showSelected1	PANEL
#FFE0D5	-0.0302000769005074	0.210985323246747	2	2	0.162406583745897	Participate.in.regional..cadre..and.state.event...	2
#FFEAE2	-0.0302000769005074	0.210985323246747	2	2	0.112742855617021	Annually..summarize.district.wide.fidelity.and....	2
#FFCBB9	-0.0302000769005074	0.210985323246747	2	2	0.273379962556913	Align.implementation.goals.with.CSIP..Comprehen...	2
#FFBDA8	-0.0302000769005074	0.210985323246747	2	2	0.34231344361687	CFA_avg	2
#FFCEBD	-0.0302000769005074	0.210985323246747	2	2	0.255519840133255	ETLP_avg	2
#FFBDA7	-0.0302000769005074	0.210985323246747	2	2	0.344648789244332	DBDM_avg	2
#FFE7DF	-0.0302000769005074	0.210985323246747	2	2	0.123346266392913	PD_avg	2
#FFD5C6	-0.0302000769005074	0.210985323246747	2	2	0.221148320059508	Leadership_avg	2
#FF1A09	-0.0302000769005074	0.210985323246747	2	2	0.977079823170117	Total.Students..All.Grades..Excludes.AE...Public.School..mean	2
#FF6C4B	-0.0302000769005074	0.210985323246747	2	2	0.731319958315632	Total.Students..All.Grades..Excludes.AE...Public.School..sd	2
#FF3219	-0.0302000769005074	0.210985323246747	2	2	0.931563105246743	Total.Students..All.Grades..Excludes.AE...Public.School..median	2
#FF9375	-0.0302000769005074	0.210985323246747	2	2	0.551580424071914	Full.Time.Equivalent..FTE..Teachers..Public.School..min	2
#FF4426	-0.0302000769005074	0.210985323246747	2	2	0.881418236365292	Full.Time.Equivalent..FTE..Teachers..Public.School..max	2
#FF0000	-0.0302000769005074	0.210985323246747	2	2	1	Full.Time.Equivalent..FTE..Teachers..Public.School..mean	2
#FF6443	-0.0302000769005074	0.210985323246747	2	2	0.762979559088398	Full.Time.Equivalent..FTE..Teachers..Public.School..sd	2
#FF2812	-0.0302000769005074	0.210985323246747	2	2	0.95386640196508	Full.Time.Equivalent..FTE..Teachers..Public.School..median	2
#FBF9FF	-0.0302000769005074	0.210985323246747	2	2	-0.0272170293078094	Pupil.Teacher.Ratio..Public.School..min	2
