fill	x	y	key	tooltip	clickSelects	showSelected1	group	xmin	xmax	ymin	ymax	colour	size
#C29FFF	1	-3	CWIS	-0.411398718887527	CWIS	Building.level.Educators	237	0.5	1.5	-3.5	-2.5	#C29FFF	0
#FFC1AD	1	-3	CWIS	0.321068769259612	CWIS	RPDC.Director	238	0.5	1.5	-3.5	-2.5	#FFC1AD	0
#FFE1D6	1	-4	CWIS	0.157457752756488	CWIS	Area.Supervisor	239	0.5	1.5	-4.5	-3.5	#FFE1D6	0
#FAF6FF	1	-8	CWIS	-0.0381779687081505	CWIS	Parents	240	0.5	1.5	-8.5	-7.5	#FAF6FF	0
#FAF7FF	1	-22	CWIS	-0.0349601507731609	CWIS	Collaborative.teams	241	0.5	1.5	-22.5	-21.5	#FAF7FF	0
#FAF6FF	1	-26	CWIS	-0.0376851742562059	CWIS	Common.formative.assessment	242	0.5	1.5	-26.5	-25.5	#FAF6FF	0
#FFF1EC	1	-18	CWIS	0.0745385983924745	CWIS	Data.based.decision.making	243	0.5	1.5	-18.5	-17.5	#FFF1EC	0
#D6BCFF	1	-4	CWIS	-0.28798297922948	CWIS	Effective.teaching.learning.practices	244	0.5	1.5	-4.5	-3.5	#D6BCFF	0
#FFF5F2	1	-22	CWIS	0.0513597814245792	CWIS	Instructional.Leadership	245	0.5	1.5	-22.5	-21.5	#FFF5F2	0
#FCFAFF	1	-27	CWIS	-0.0199981111036554	CWIS	School.based.implementation.coaching	246	0.5	1.5	-27.5	-26.5	#FCFAFF	0
#FFF0EB	1	-11	CWIS	0.0777123202126007	CWIS	Collective.teacher.efficacy	247	0.5	1.5	-11.5	-10.5	#FFF0EB	0
#FF997C	1	-3	CWIS	0.523047183046563	CWIS	MMD.DCI.expectations.logistics.DESE.specifics	248	0.5	1.5	-3.5	-2.5	#FF997C	0
#FFC9B6	1	-5	CWIS	0.283730047189656	CWIS	Alignment.and.systems.planning	249	0.5	1.5	-5.5	-4.5	#FFC9B6	0
#FFE0D4	1	-10	CWIS	0.164620868446894	CWIS	Practice.profiles	250	0.5	1.5	-10.5	-9.5	#FFE0D4	0
#FFB198	1	-4	CWIS	0.404224983808093	CWIS	Self.assessment.practice.profile..SAPP.	251	0.5	1.5	-4.5	-3.5	#FFB198	0
#FFE7DE	1	-9	CWIS	0.128319549841919	CWIS	Learning.module.materials..i.e..power.points..handouts.	252	0.5	1.5	-9.5	-8.5	#FFE7DE	0
#FFAE95	1	-4	CWIS	0.419931987692063	CWIS	DESE.virtual.learning.platform	253	0.5	1.5	-4.5	-3.5	#FFAE95	0
#FFFEFF	1	-28	CWIS	-0.00236346692071123	CWIS	Review.of.CFA.data	254	0.5	1.5	-28.5	-27.5	#FFFEFF	0
#FF0000	1	-1	CWIS	1	CWIS	CWIS	255	0.5	1.5	-1.5	-0.5	#FF0000	0
#F5EDFF	1	-14	CWIS	-0.0741405606197416	CWIS	Distance.Learning	256	0.5	1.5	-14.5	-13.5	#F5EDFF	0
#FFE8DF	1	-17	CWIS	0.121146596464923	CWIS	Virtual.Learning.Modules.and.or.PowerPoints	257	0.5	1.5	-17.5	-16.5	#FFE8DF	0
#FBF8FF	1	-22	CWIS	-0.0282677945412899	CWIS	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	258	0.5	1.5	-22.5	-21.5	#FBF8FF	0
#E9D9FF	1	-4	CWIS	-0.160749140809794	CWIS	Interaction.Type_Virtual	259	0.5	1.5	-4.5	-3.5	#E9D9FF	0
#D0B2FF	1	-2	CWIS	-0.328954538790134	CWIS	Interaction.Type_In-person	260	0.5	1.5	-2.5	-1.5	#D0B2FF	0
#EBDDFF	1	-4	CWIS	-0.143646290635468	CWIS	Interaction.Type_In-person and virtual	261	0.5	1.5	-4.5	-3.5	#EBDDFF	0
